idx,words,score,label
124997,route planning,0.9369962549,0
105510,service provider,0.9373007041,0
105409,service providers,0.9285187138,1
117059,sensing data,0.9378988604,0
118623,sensing module,0.9119666405,0
103927,light emitting,0.9386614426,0
140734,light emitting diode,0.9147491222,1
76361,kinetic energy,0.9397208082,1
132141,storage bin,0.9029980570,0
80687,kalman filter,0.9408134877,1
84564,movable objects,0.9085846883,0
78451,zenith angle,0.9055475157,0
88952,recording devices,0.9024478199,0
98209,path planning,0.9475078119,0
77382,alternating current,0.9477171570,1
123995,virtual reality,0.9477676434,1
135625,air quality,0.9144540489,1
115152,visible light,0.9499723754,1
